"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 08:31:26 UTC 2025","Fri Jun 27 08:31:26 UTC 2025","247","","","","","","TC8 - Invalid timeframe format",""
"passed","Fri Jun 27 08:31:29 UTC 2025","Fri Jun 27 08:31:30 UTC 2025","502","","","","","","WS-TC6 - Subscribe to inactive market with no real-time data",""
"passed","Fri Jun 27 08:31:30 UTC 2025","Fri Jun 27 08:31:30 UTC 2025","502","","","","","","WS-TC7 - Subscribe with invalid instrument name",""
"passed","Fri Jun 27 08:31:26 UTC 2025","Fri Jun 27 08:31:27 UTC 2025","1004","","","","","","WS-TC1 - Successful subscription returns order book",""
"passed","Fri Jun 27 08:31:28 UTC 2025","Fri Jun 27 08:31:29 UTC 2025","502","","","","","","WS-TC4 - Subscribe with maximum depth",""
"passed","Fri Jun 27 08:31:24 UTC 2025","Fri Jun 27 08:31:24 UTC 2025","240","","","","","","TC1 - Valid request returns candlestick data",""
"passed","Fri Jun 27 08:31:26 UTC 2025","Fri Jun 27 08:31:26 UTC 2025","231","","","","","","TC9 - No parameters provided",""
"passed","Fri Jun 27 08:31:29 UTC 2025","Fri Jun 27 08:31:29 UTC 2025","502","","","","","","WS-TC5 - Rapid multiple subscriptions",""
"passed","Fri Jun 27 08:31:27 UTC 2025","Fri Jun 27 08:31:28 UTC 2025","502","","","","","","WS-TC2 - Verify subscription confirmation message",""
"passed","Fri Jun 27 08:31:26 UTC 2025","Fri Jun 27 08:31:26 UTC 2025","212","","","","","","TC6 - Specific time range query",""
"passed","Fri Jun 27 08:31:25 UTC 2025","Fri Jun 27 08:31:26 UTC 2025","213","","","","","","TC5 - Missing required parameter",""
"passed","Fri Jun 27 08:31:24 UTC 2025","Fri Jun 27 08:31:24 UTC 2025","209","","","","","","TC2 - Test various timeframe formats",""
"passed","Fri Jun 27 08:31:30 UTC 2025","Fri Jun 27 08:31:31 UTC 2025","502","","","","","","WS-TC8 - Subscribe with invalid depth value",""
"passed","Fri Jun 27 08:31:25 UTC 2025","Fri Jun 27 08:31:25 UTC 2025","206","","","","","","TC4 - Maximum data limit test",""
"passed","Fri Jun 27 08:31:28 UTC 2025","Fri Jun 27 08:31:28 UTC 2025","502","","","","","","WS-TC3 - Validate data field types",""
"passed","Fri Jun 27 08:31:31 UTC 2025","Fri Jun 27 08:31:31 UTC 2025","502","","","","","","WS-TC9 - No updates received after timeout",""
"passed","Fri Jun 27 08:31:26 UTC 2025","Fri Jun 27 08:31:26 UTC 2025","201","","","","","","TC7 - Invalid instrument name",""
"passed","Fri Jun 27 08:31:24 UTC 2025","Fri Jun 27 08:31:25 UTC 2025","979","","","","","","TC3 - Validate candlestick fields and structure",""
